Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Day,Month,Year,Dep_Hr,Dep_Min,Arr_Hr,Arr_Min,Duration_Hr,Duration_Min,Price
IndiGo,24/03/2019,Banglore,New Delhi,BLR / DEL,22:20,01:10,2:50,0,No Info,24,3,2019,22,20,1,10,2,50,3897
Air India,1/05/2019,Kolkata,Banglore,CCU / IXR / BBI / BLR,05:50,13:15,7:25,2,No Info,1,5,2019,5,50,13,15,7,25,7662
Jet Airways,9/06/2019,Delhi,Cochin,DEL / LKO / BOM / COK,09:25,04:25,19h,2,No Info,9,6,2019,9,25,4,25,19,0,13882
IndiGo,12/05/2019,Kolkata,Banglore,CCU / NAG / BLR,18:05,23:30,5:25,1,No Info,12,5,2019,18,5,23,30,5,25,6218
IndiGo,01/03/2019,Banglore,New Delhi,BLR / NAG / DEL,16:50,21:35,4:45,1,No Info,1,3,2019,16,50,21,35,4,45,13302
SpiceJet,24/06/2019,Kolkata,Banglore,CCU / BLR,09:00,11:25,2:25,0,No Info,24,6,2019,9,0,11,25,2,25,3873
Jet Airways,12/03/2019,Banglore,New Delhi,BLR / BOM / DEL,18:55,10:25,15:30,1,In-flight meal not included,12,3,2019,18,55,10,25,15,30,11087
Jet Airways,01/03/2019,Banglore,New Delhi,BLR / BOM / DEL,08:00,05:05,21:5,1,No Info,1,3,2019,8,0,5,5,21,5,22270
Jet Airways,12/03/2019,Banglore,New Delhi,BLR / BOM / DEL,08:55,10:25,25:30,1,In-flight meal not included,12,3,2019,8,55,10,25,25,30,11087
Multiple carriers,27/05/2019,Delhi,Cochin,DEL / BOM / COK,11:25,19:15,7:50,1,No Info,27,5,2019,11,25,19,15,7,50,8625
Air India,1/06/2019,Delhi,Cochin,DEL / BLR / COK,09:45,23:00,13:15,1,No Info,1,6,2019,9,45,23,0,13,15,8907
IndiGo,18/04/2019,Kolkata,Banglore,CCU / BLR,20:20,22:55,2:35,0,No Info,18,4,2019,20,20,22,55,2,35,4174
